,longitude,variable,value
601,-914.414,lnwpred_longq,4.765516302
602,-913.484,lnwpred_longq,4.75704589
603,-913.531,lnwpred_longq,4.757733189
604,-914.95,lnwpred_longq,4.765490031
605,-912.955,lnwpred_longq,4.747406859
606,-915.683,lnwpred_longq,4.759643998
607,-914.4917607,lnwpred_longq,4.765735063
608,-915.427,lnwpred_longq,4.762448464
609,-914.098,lnwpred_longq,4.763850104
610,-915.619,lnwpred_longq,4.760421868
611,-914.489,lnwpred_longq,4.76572859
612,-914.216,lnwpred_longq,4.764618229
613,-913.641,lnwpred_longq,4.759233891
614,-914.699,lnwpred_longq,4.765949158
615,-913.536,lnwpred_longq,4.757804682
616,-912.902,lnwpred_longq,4.746248462
617,-915.01,lnwpred_longq,4.765263725
618,-909.425,lnwpred_longq,4.59358814
619,-914.4412041,lnwpred_longq,4.765601425
620,-914.1,lnwpred_longq,4.763864572
621,-918.997,lnwpred_longq,4.649440207
622,-914.676,lnwpred_longq,4.765951866
623,-913.535,lnwpred_longq,4.757790409
624,-912.971,lnwpred_longq,4.747749667
625,-915.282,lnwpred_longq,4.763673743
626,-915.293,lnwpred_longq,4.763589998
627,-914.758,lnwpred_longq,4.765911993
628,-914.333,lnwpred_longq,4.765208104
629,-915.11,lnwpred_longq,4.764786608
